"scene","file","dur_s","chars","title"
"S01","scene_01.mp3","25.3","360","COLD OPEN & THE PROBLEM"
"S02","scene_02.mp3","28.3","451","WHY FACE RECOGNITION IS HARD"
"S03","scene_03.mp3","54.6","785","THE PRE-DEEP-LEARNING ERA (NEW storyboard) ⭐"
"S04","scene_04.mp3","35.1","523","THE EBGM IDEA: THREE PILLARS"
"S05","scene_05.mp3","34.1","525","GABOR WAVELETS: THE EYES OF EBGM"
"S06","scene_06.mp3","27.8","438","JET: 40 COMPLEX COEFFICIENTS AT A POINT"
"S07","scene_07.mp3","35.4","556","COMPARING JETS: TWO SIMILARITY FUNCTIONS"
"S08","scene_08.mp3","21.3","319","IMAGE GRAPH: THE FACE AS A GRAPH"
"S09","scene_09.mp3","25.9","385","FACE BUNCH GRAPH"
"S10","scene_10.mp3","24.4","390","THE GRAPH SIMILARITY FUNCTION"
"S11","scene_11.mp3","44.7","642","ELASTIC MATCHING: 4 STEPS ⭐"
"S12","scene_12.mp3","21.9","349","RECOGNITION: MATCH & RANK"
"S13","scene_13.mp3","35.5","519","EXPERIMENTS: DATA & FERET RESULTS"
"S14","scene_14.mp3","42.2","635","CROSS-POSE, THE ROLE OF PHASE & SPEED"
"S15","scene_15.mp3","34.0","484","EBGM IN THE BIG PICTURE"
"S16","scene_16.mp3","21.0","338","CONCLUSION"
"TOTAL","","512","","8:31"
